name,credits,semester,timeSlot,group,classroom,details,day,startTime,endTime
CÁLCULO MULTIVARIADO VECTORIAL,0,4,night,01 N,D4-410 / D4-411 / D4-405,La sesión del viernes es quincenal,monday,18:00,20:00
CÁLCULO MULTIVARIADO VECTORIAL,0,4,night,01 N,D4-410 / D4-411 / D4-405,La sesión del viernes es quincenal,wednesday,20:00,22:00
CÁLCULO MULTIVARIADO VECTORIAL,0,4,night,01 N,D4-410 / D4-411 / D4-405,La sesión del viernes es quincenal,friday,20:00,22:00
ECUACIONES DIFERENCIALES,0,4,night,01 N,D4-405,,monday,20:00,22:00
ECUACIONES DIFERENCIALES,0,4,night,01 N,D4-405,,wednesday,18:00,20:00
PROGRAMACIÓN III (Lenguaje Java),0,4,night,01 N,D4-410 / D4-407,,tuesday,18:00,20:00
PROGRAMACIÓN III (Lenguaje Java),0,4,night,01 N,D4-410 / D4-407,,thursday,20:00,22:00
FUNDAMENTOS DE INFRAESTRUCTURA COMPUTACIONAL,0,4,night,01 N,D4-411 / D4-410,,thursday,18:00,20:00
FUNDAMENTOS DE INFRAESTRUCTURA COMPUTACIONAL,0,4,night,01 N,D4-411 / D4-410,,tuesday,20:00,22:00
CÁLCULO MULTIVARIADO VECTORIAL,0,4,night,02 N,D4-413 / D4-403 / D4-406,La sesión del viernes es quincenal,monday,18:00,20:00
CÁLCULO MULTIVARIADO VECTORIAL,0,4,night,02 N,D4-413 / D4-403 / D4-406,La sesión del viernes es quincenal,wednesday,20:00,22:00
CÁLCULO MULTIVARIADO VECTORIAL,0,4,night,02 N,D4-413 / D4-403 / D4-406,La sesión del viernes es quincenal,friday,20:00,22:00
TEORÍA DE GRAFOS,0,5,night,01 N,D4-302,,monday,18:00,20:00
TEORÍA DE GRAFOS,0,5,night,01 N,D4-302,,wednesday,20:00,22:00
ESTRUCTURA DE DATOS (Lenguaje Java),0,5,night,01 N,D4-411 / D4-413,,tuesday,18:00,20:00
ESTRUCTURA DE DATOS (Lenguaje Java),0,5,night,01 N,D4-411 / D4-413,,thursday,20:00,22:00
ESTADÍSTICA Y PROBABILIDAD,0,5,night,01 N,D4-410 / D4-411,,wednesday,18:00,20:00
ESTADÍSTICA Y PROBABILIDAD,0,5,night,01 N,D4-410 / D4-411,,monday,20:00,22:00
SISTEMA DE INFORMACIÓN,0,5,night,01 N,D4-303 / D4-411,,thursday,18:00,20:00
SISTEMA DE INFORMACIÓN,0,5,night,01 N,D4-303 / D4-411,,tuesday,20:00,22:00
ESTRUCTURA DE DATOS (Lenguaje Java),0,5,night,02 N,D4-302 / D4-404,,tuesday,18:00,20:00
ESTRUCTURA DE DATOS (Lenguaje Java),0,5,night,02 N,D4-302 / D4-404,,thursday,18:00,20:00
INFRAESTRUCTURA COMPUTACIONAL,0,6,night,01 N,D4-405 / D4-406 / F1-110,Teoría y Práctica - Práctica en Bloque de Educación,monday,20:00,22:00
INFRAESTRUCTURA COMPUTACIONAL,0,6,night,01 N,D4-405 / D4-406 / F1-110,Teoría y Práctica - Práctica en Bloque de Educación,friday,18:00,20:00
INFRAESTRUCTURA COMPUTACIONAL,0,6,night,01 N,D4-405 / D4-406 / F1-110,Teoría y Práctica - Práctica en Bloque de Educación,saturday,14:00,16:00
INGENIERÍA DE SOFTWARE I,0,6,night,01 N,D4-407 / D4-410,,monday,18:00,20:00
INGENIERÍA DE SOFTWARE I,0,6,night,01 N,D4-407 / D4-410,,wednesday,20:00,22:00
BASES DE DATOS I,0,6,night,01 N,D4-407 / D4-302,,tuesday,18:00,20:00
BASES DE DATOS I,0,6,night,01 N,D4-407 / D4-302,,thursday,20:00,22:00
ANÁLISIS NUMÉRICO,0,6,night,01 N,D4-406 / D4-403,,wednesday,18:00,20:00
