name,credits,semester,timeSlot,group,classroom,details,day,startTime,endTime
MATEMÁTICAS GENERALES,3,1,night,01 N,D4-401 AULA,,monday,18:00,20:00
MATEMÁTICAS GENERALES,3,1,night,01 N,D4-401 AULA,,wednesday,20:00,22:00
LÓGICA DE PROGRAMACIÓN,3,1,night,01 N,D4-401 AULA,Lenguaje Python,tuesday,18:00,20:00
LÓGICA DE PROGRAMACIÓN,3,1,night,01 N,D4-401 AULA,Lenguaje Python,thursday,20:00,22:00
INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,3,1,night,01 N,D4-401 AULA,,wednesday,18:00,20:00
LECTURA Y ESCRITURA EN INGENIERÍA,3,1,night,01 N,D4-401 AULA,,thursday,18:00,20:00
UNIQINDIANIDAD-VIRTUAL,2,1,night,01 N,VIRTUAL,Virtual,saturday,18:00,20:00
PRÁCTICA LÓGICA DE PROGRAMACIÓN,1,1,night,01 N,VIRTUAL,Virtual,friday,18:00,20:00
CÁLCULO DIFERENCIAL,4,2,night,01 N,D4-409 AULA,,monday,18:00,20:00
PROGRAMACIÓN I,3,2,night,01 N,D4-409 AULA,Lenguaje Java,tuesday,18:00,20:00
ÁLGEBRA LINEAL,3,2,night,01 N,D4-413 AULA,,wednesday,18:00,20:00
PENSAMIENTO SISTÉMICO,3,2,night,01 N,D2-114 AULA,Bloque Medicina,thursday,18:00,20:00
FUNDAMENTOS DE ELECTRICIDAD ELECTRÓNICA Y TELECOMUNICACIONES,3,2,night,01 N,D4-409 AULA,,friday,18:00,20:00
CÁLCULO MULTIVARIADO VECTORIAL,4,4,night,01 N,D4-410 AULA,,monday,18:00,20:00
PROGRAMACIÓN III,3,4,night,01 N,D4-410 AULA,Lenguaje Java,tuesday,18:00,20:00
ECUACIONES DIFERENCIALES,3,4,night,01 N,D4-405 AULA,,wednesday,18:00,20:00
FUNDAMENTOS DE INFRAESTRUCTURA COMPUTACIONAL,3,4,night,01 N,D4-411 AULA,,thursday,18:00,20:00
